player_id,n_total,n_attack_angle_available,n_in,n_out,mean_in,mean_out,diff,ratio_out_over_in,rel_loss_in_base,band_source
trout-mike,372,149,79,70,0.881987341772152,0.4491428571428571,0.43284448462929487,0.5092395728043071,0.49076042719569285,global_ohtani_fixed
ohtani,767,356,210,146,0.9626095238095238,0.6167172413793103,0.3458922824302135,0.6406722831274866,0.3593277168725134,global_ohtani_fixed
judge-aaron,708,303,171,132,1.0811286549707602,0.8269469696969697,0.2541816852737905,0.7648922872360043,0.2351077127639957,global_ohtani_fixed
schwarber-kyle,710,350,251,99,0.790784860557769,0.6648181818181818,0.12596667873958722,0.8407067648579686,0.15929323514203142,global_ohtani_fixed
soto-juan,872,433,253,180,0.741616600790514,0.6491222222222223,0.09249437856829168,0.875280059171142,0.12471994082885797,global_ohtani_fixed
betts-mookie,826,373,178,195,0.4788146067415731,0.4529230769230769,0.02589152981849624,0.9459257728274141,0.054074227172585976,global_ohtani_fixed
